"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"11","Thank you for everything. My last ask is the same as my first. I'm asking you to believe—not in my ability to create change, but in yours.",FALSE,1681441,NA,2017-01-11 04:52:08,FALSE,NA,"819044196371800065",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",763220,FALSE,FALSE,NA,NA
"12","It’s been the privilege of my life to serve as your President. I look forward to standing with you as a citizen. Happy New Year everybody.",FALSE,779736,"POTUS44",2017-01-01 17:00:55,FALSE,"815603416089194496","815603723707658241","1536791610","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",227932,FALSE,FALSE,NA,NA
"13","From realizing marriage equality to removing barriers to opportunity, we've made history in our work to reaffirm that all are created equal.",FALSE,186927,"POTUS44",2017-01-01 16:59:42,FALSE,"815601969154899969","815603416089194496","1536791610","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",46704,FALSE,FALSE,NA,NA
"14","We brought home more of our troops &amp; strengthened U.S. leadership—leading with diplomacy &amp; partnering with nations to meet global problems.",FALSE,71027,"POTUS44",2017-01-01 16:53:57,FALSE,"815601640124387328","815601969154899969","1536791610","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",15714,FALSE,FALSE,NA,NA
"15","We traded foreign oil for clean energy, we doubled fuel efficiency standards, &amp; we acted on a global scale to save… https://t.co/U2n4myQUkV",FALSE,61714,"POTUS44",2017-01-01 16:52:38,TRUE,"815601279716225024","815601640124387328","1536791610","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",16979,FALSE,FALSE,NA,NA
"16","After decades of rising health care costs, today nearly every American now has access to the financial security of… https://t.co/P9VEPIE3Ab",FALSE,54450,"POTUS44",2017-01-01 16:51:12,TRUE,"815600798558208001","815601279716225024","1536791610","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",15393,FALSE,FALSE,NA,NA
"17","Facing the worst financial crisis in 80 years, you delivered the longest streak of job growth in our history. https://t.co/Vk3PfRgZqF",FALSE,73111,"POTUS44",2017-01-01 16:49:18,FALSE,"815600521688055808","815600798558208001","1536791610","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",23292,FALSE,FALSE,NA,NA
"18","As we look ahead to the future, I wanted to take a moment to look back on the remarkable progress that you made possible these past 8 years.",FALSE,205866,NA,2017-01-01 16:48:12,FALSE,NA,"815600521688055808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",44541,FALSE,FALSE,NA,NA
"19","The best part of the holidays is the time we share with those we love. On behalf of Michelle, Malia, and Sasha, Mer… https://t.co/AOai9bJYlg",FALSE,379097,NA,2016-12-25 16:30:27,TRUE,NA,"813059340013895680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",97648,FALSE,FALSE,NA,NA
"20","A ban on drilling in Arctic waters helps protect the planet we share. Proud to take this step with @JustinTrudeau &amp;… https://t.co/cDbN6inXRy",FALSE,81906,NA,2016-12-20 21:56:09,TRUE,NA,"811329368408621056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",24525,FALSE,FALSE,NA,NA
"21","The Justice for All bill is a bipartisan step in making our criminal justice system fairer, smarter, and more effective. Proud to sign it.",FALSE,34514,NA,2016-12-16 23:13:35,FALSE,NA,"809899303321866240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",5927,FALSE,FALSE,NA,NA
"22","The suits said it all – colorful, fun, a little outlandish. That’s what sports should be. Thanks, Craig Sager.  We'll all miss you.",FALSE,47958,NA,2016-12-16 17:00:30,FALSE,NA,"809805411129946115",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",10126,FALSE,FALSE,NA,NA
"23","In signing the Cures Act into law, we're one step closer to breakthroughs on the greatest health challenges of our… https://t.co/LhyahsK0sJ",FALSE,47780,NA,2016-12-13 22:56:10,TRUE,NA,"808807755456937984",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","POTUS44",10297,FALSE,FALSE,NA,NA
"24","Great to see so many investors come together to work towards a clean energy future. It's a smart investment and it'… https://t.co/aqGx2t7QAZ",FALSE,45262,NA,2016-12-13 03:15:49,TRUE,NA,"808510710770761728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS44",11322,FALSE,FALSE,NA,NA
"25","Proud of our Champions of Change - folks who prove that, here in America, there's no more powerful role than that o… https://t.co/wbz1YSlUEx",FALSE,45776,NA,2016-12-05 22:46:10,TRUE,NA,"805906134074847232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",8936,FALSE,FALSE,NA,NA
"26","Today, we honor those who are leading the fight against HIV/AIDS. Because of them, an AIDS-free generation is now w… https://t.co/yW9uyfbf1x",FALSE,97829,NA,2016-12-01 15:57:15,TRUE,NA,"804353679050543104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",28945,FALSE,FALSE,NA,NA
"27","This Thanksgiving, we give thanks for our blessings, and work to fulfill the timeless responsibility we have as Americans to serve others.",FALSE,34026,"POTUS44",2016-11-24 18:05:11,FALSE,"801848753468674048","801849159800197121","1536791610","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",6887,FALSE,FALSE,NA,NA
"28","The Old Soldiers Home in DC has cared for our nation's veterans for 165 years. I was honored to be a small part of… https://t.co/43ttiaLibI",FALSE,93776,NA,2016-11-24 18:03:35,TRUE,NA,"801848753468674048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",18509,FALSE,FALSE,NA,NA
"29","Happy birthday, Joe! The best @VP and friend I could have had alongside me these past eight years. https://t.co/kWH3L5uSFC",FALSE,597436,NA,2016-11-20 22:40:00,FALSE,NA,"800468765934690304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",175671,FALSE,FALSE,NA,NA
"30","One thing I've learned from my time abroad as President: Young people will shape our future long after their leader… https://t.co/bwEltHdPDs",FALSE,83611,NA,2016-11-20 15:17:26,TRUE,NA,"800357392588406785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",22770,FALSE,FALSE,NA,NA
"31","Today, we honor those who honored our country with its highest form of service. We owe our veterans our thanks, our respect and our freedom.",FALSE,149874,NA,2016-11-11 17:28:48,FALSE,NA,"797128959578271744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",44439,FALSE,FALSE,NA,NA
"32","Today, progress is on the ballot. Go vote - then make sure your friends, your family, and everyone you know votes too.",FALSE,137422,NA,2016-11-08 15:57:29,FALSE,NA,"796018814072672256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS44",49656,FALSE,FALSE,NA,NA
"33","It's pretty simple: Find a plan, get covered, earn some peace of mind. Start today: https://t.co/PJ7xIKP3Vo https://t.co/ZBQdNz8s80",FALSE,25458,NA,2016-11-03 23:34:58,FALSE,NA,"794322003754790913",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","POTUS44",6036,FALSE,FALSE,NA,NA
"34","It happened: @Cubs win World Series. That's change even this South Sider can believe in. Want to come to the White House before I leave?",FALSE,252803,NA,2016-11-03 06:03:56,FALSE,NA,"794057504871346176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS44",65266,FALSE,FALSE,NA,NA
